time_msec,throughput,current_buffer,current_playing_segment
94087,1725.15,24.671,46
94188,1725.15,24.57,46
94291,1822.12,24.471,46
94392,1626.24,24.37,46
94511,331.68,26.25,46
94791,882.971,25.99,47
95000,2513.08,25.78,47
95105,1738.67,25.68,47
95207,1610.14,25.571,47
95307,1626.24,25.471,47
95412,1675.38,25.37,47
95518,1880.69,25.261,47
95618,1742.4,25.161,47
95719,1626.24,25.061,47
95825,1753.36,24.961,47
95928,1822.12,24.85,47
96034,1770.06,24.751,47
96138,2345.54,24.64,47
96245,1643.77,24.541,47
96354,1705.1,24.43,47
96460,1659.43,24.32,47
96567,1753.36,24.221,47
96669,1822.12,24.111,47
96772,1594.35,24.01,47
96876,2010.46,23.92,48
96980,1466.1,23.81,48
97082,2049.88,23.71,48
97184,1840.16,23.609,48
97284,1974.72,23.51,48
97385,1610.14,23.41,48
97489,1340.31,23.3,48
97597,1845.53,23.2,48
97697,1974.72,23.1,48
97800,1708.24,22.99,48
97907,1534.19,22.89,48
98010,1804.43,22.779,48
98113,1917.2,22.68,48
98219,2212.57,22.569,48
98320,1742.4,22.47,48
98421,1725.15,22.369,48
98579,490.435,24.21,48
98681,1610.14,24.11,48
98781,1974.72,24.01,48
98886,1675.38,23.92,49
98986,1626.24,23.82,49
99087,1510.08,23.71,49
99195,1720.89,23.611,49
99296,1742.4,23.511,49
99400,1917.2,23.4,49
99505,1880.69,23.3,49
99611,1534.19,23.19,49
99866,320.126,22.94,49
99968,5865.5,22.83,49
100073,1770.06,22.73,49
100176,1822.12,22.63,49
100276,1858.56,22.53,49
100382,1548.8,22.42,49
100484,1594.35,22.32,49
100596,1970.57,22.21,49
100702,1205.43,22.101,49
100835,992.97,21.981,50
100938,3270.27,21.871,50
101080,532.075,23.731,50
101187,1643.77,23.632,50
101291,1675.38,23.522,50
101395,1804.43,23.421,50
101499,2481.09,23.312,50
101599,1626.24,23.211,50
101708,1705.1,23.101,50
101808,1742.4,23.001,50
101912,1804.43,22.901,50
102015,1691.65,22.801,50
102126,1779.03,22.692,50
102226,1626.24,22.591,50
102338,1866.86,22.471,50
102445,1736.97,22.371,50
102552,1862.94,22.261,50
102697,869.029,24.112,50
102802,1787.08,24.011,50
102909,1736.97,23.92,51
103009,1742.4,23.82,51
103115,1753.36,23.72,51
103220,1787.08,23.611,51
103327,1753.36,23.51,51
103433,1753.36,23.401,51
103598,765.692,25.231,51
103709,1779.03,25.12,51
103814,1787.08,25.02,51
103914,2090.88,24.92,51
104017,1822.12,24.82,51
104117,1742.4,24.72,51
104223,1770.06,24.61,51
104329,1753.36,24.5,51
104435,1753.36,24.401,51
104541,1770.06,24.291,51
104641,1742.4,24.191,51
104747,1770.06,24.081,51
104853,1753.36,24,52
104959,1880.69,23.89,52
105067,1720.89,23.79,52
105226,1090.29,25.63,52
105332,1753.36,25.519,52
105438,1770.06,25.41,52
105545,1753.36,25.31,52
105650,1770.06,25.201,52
105750,1742.4,25.1,52
105856,1770.06,25,52
105962,1753.36,24.89,52
106068,1770.06,24.781,52
106168,1858.56,24.68,52
106285,1080,26.571,52
106391,1770.06,26.46,52
106497,1770.06,26.36,52
106603,1770.06,26.251,52
106709,1770.06,26.14,52
106815,1753.36,26.04,52
106921,1770.06,25.94,53
107021,1742.4,25.841,53
107127,1753.36,25.74,53
107227,1858.56,25.631,53
107333,1770.06,25.531,53
107450,1090.29,27.41,53
107550,1742.4,27.31,53
107655,1787.08,27.21,53
107755,1742.4,27.11,53
107861,1770.06,27.001,53
107967,1770.06,26.9,53
108073,1753.36,26.791,53
108179,1770.06,26.68,53
108279,1742.4,26.58,53
108380,1858.56,26.481,53
108485,1770.06,26.38,53
108591,1770.06,26.27,53
108710,1060,28.151,53
